Month-Year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
23-Jul,6,600001,KR001,KR,909,868.2791786,4.50%,0.00%,0.00%,40.72082139,-40.72082139
23-Aug,6,600001,KR001,KR,786,867.6759733,10.40%,0.01%,0.00%,81.67597333,81.67597333
23-Sep,6,600001,KR001,KR,846,906.3305895,7.10%,0.01%,0.00%,60.33058954,60.33058954
23-Oct,6,600001,KR001,KR,761,907.3274251,19.20%,0.01%,0.10%,146.3274251,146.3274251
23-Nov,6,600001,KR001,KR,786,868,10.40%,0.01%,0.00%,82,82
23-Dec,6,600001,KR001,KR,778,879.4511109,13.00%,0.01%,0.00%,101.4511109,101.4511109
23-Jul,6,600002,HK001,HK,105,76,27.60%,0.00%,0.00%,29,-29
23-Aug,6,600002,HK001,HK,0,30,,0.00%,0.00%,30,30
23-Sep,6,600002,HK001,HK,45,47,4.40%,0.00%,0.00%,2,2
23-Oct,6,600002,HK001,HK,39,40,2.60%,0.00%,0.00%,1,1
23-Nov,6,600002,HK001,HK,126,47,62.70%,0.01%,0.00%,79,-79
23-Dec,6,600002,HK001,HK,28,59,110.70%,0.00%,0.00%,31,31
23-Jul,6,600003,CA001,CA,832,909,9.30%,0.01%,0.00%,77,77
23-Aug,6,600003,CA001,CA,"1,032",909,11.90%,0.01%,0.10%,123,-123
23-Sep,6,600003,CA001,CA,964,855.0322434,11.30%,0.01%,0.10%,108.9677566,-108.9677566
23-Oct,6,600003,CA001,CA,"1,753",851.971515,51.40%,0.09%,0.40%,901.028485,-901.028485
23-Nov,6,600003,CA001,CA,256,840.1711454,228.20%,0.06%,0.30%,584.1711454,584.1711454
23-Dec,6,600003,CA001,CA,820,831.118051,1.40%,0.00%,0.00%,11.11805095,11.11805095
23-Jul,6,600004,MY001,MY,9,9,0.00%,0.00%,0.00%,0,0
23-Aug,6,600004,MY001,MY,172,9,94.80%,0.02%,0.10%,163,-163
23-Sep,6,600004,MY001,MY,0,101,,0.01%,0.10%,101,101
23-Oct,6,600004,MY001,MY,116,0,100.00%,0.01%,0.00%,116,-116
23-Nov,6,600004,MY001,MY,0,9,,0.00%,0.00%,9,9
23-Jul,6,600005,AU001,AU,431,438.099101,1.60%,0.00%,0.00%,7.099101001,7.099101001
23-Aug,6,600005,AU001,AU,362,438.3402128,21.10%,0.01%,0.00%,76.34021283,76.34021283
23-Sep,6,600005,AU001,AU,401,438,9.20%,0.00%,0.00%,37,37
23-Oct,6,600005,AU001,AU,404,438,8.40%,0.00%,0.00%,34,34
23-Nov,6,600005,AU001,AU,335,395,17.90%,0.01%,0.00%,60,60
23-Dec,6,600005,AU001,AU,454,395,13.00%,0.01%,0.00%,59,-59
23-Jul,6,600006,MX001,MX,"1,646",2226,35.20%,0.06%,0.30%,580,580
23-Aug,6,600006,MX001,MX,"1,474",1726,17.10%,0.02%,0.10%,252,252
23-Sep,6,600006,MX001,MX,"2,919",1919,34.30%,0.10%,0.60%,1000,-1000
23-Oct,6,600006,MX001,MX,"2,806",1934,31.10%,0.08%,0.30%,872,-872
23-Nov,6,600006,MX001,MX,"1,234",1638,32.70%,0.04%,0.20%,404,404
23-Dec,6,600006,MX001,MX,"1,032",1539,49.10%,0.05%,0.20%,507,507
23-Jul,6,600007,AR001,AR,616,749,21.60%,0.01%,0.10%,133,133
23-Aug,6,600007,AR001,AR,767,749,2.30%,0.00%,0.00%,18,-18
23-Sep,6,600007,AR001,AR,672,750,11.60%,0.01%,0.00%,78,78
23-Oct,6,600007,AR001,AR,717,750,4.60%,0.00%,0.00%,33,33
