GMID,Market,PRODUCT_FAMILY,DOSAGE_STRENGTH,MATERIAL_TYPE,LSD_STATUS,MCO_SEGMENTATION,STRATEGY_SEGMENTATION,SMART_SEGMENTATION
150167,CY,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
150024,EC,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
150002,CH,15,300 MG/2 ML,FG,No,Top MCO,Platinum,Supply Growth
800009,TW,8,400 IU,FG,No,Regular MCO,Gold,Secure
150098,OM,15,300 MG/2 ML,FG,Global,Regular MCO,Platinum,Supply Growth
100001,NL,1,500 IU,FG,No,Top MCO,Auto Piloted,Secure
800003,US,8,400 IU,FG,No,Top MCO,Platinum,Secure
300007,DK,3,10 MG,FG,No,Top MCO,Platinum,Secure
200003,US,2,3 KIU,FG,No,Top MCO,Auto Piloted,Supply Growth
800036,RO,8,400 IU,FG,Global,Regular MCO,Platinum,Secure
800046,US,8,400 IU,FG,Global,Top MCO,Platinum,Secure
100059,KR,1,3 KIU,FG,No,Major MCO,Auto Piloted,Secure
100002,NL,1,1 KIU,FG,No,Top MCO,Auto Piloted,Secure
700043,DE,7,84 MG,FG,No,Top MCO,Gold,Secure
100004,NL,1,3 KIU,FG,No,Top MCO,Auto Piloted,Secure
700035,GB,7,84 MG,FG,Global,Top MCO,Platinum,Secure
100015,EX,1,3 KIU,FG,No,Regular MCO,Auto Piloted,Secure
130014,DE,13,4 MG/1 ML,FG,No,Top MCO,Auto Piloted,Secure
140062,DE,14,175 MG/1 ML,FG,No,Top MCO,Platinum,Secure
100005,NL,1,2 KIU,FG,No,Top MCO,Auto Piloted,Secure
100006,NL,1,250 IU,FG,No,Top MCO,Auto Piloted,Secure
120039,EG,12,100 MG/10 ML,FG,No,Major MCO,Gold,Supply Growth
170060,US,17,35 MG/7 ML,FG,No,Top MCO,Platinum,Secure
100038,NZ,1,1 KIU,FG,No,Regular MCO,Auto Piloted,Secure
120017,CY,12,100 MG/10 ML,FG,Global,Regular MCO,Platinum,Supply Growth
150219,DB,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
160071,BR,16,1400 MG/10 ML,FG,Global,Regular MCO,Platinum,Supply Growth
800081,DE,8,400 IU,FG,No,Top MCO,Gold,Secure
100007,NL,1,4 KIU,FG,No,Top MCO,Auto Piloted,Secure
200008,JP,2,1000 IU,FG,No,Top MCO,Auto Piloted,Supply Growth
700010,KW,7,84 MG,FG,No,Regular MCO,Gold,Secure
400055,CA,4,750 IU,FG,No,Top MCO,Platinum,Secure
170011,PT,17,35 MG,FG,Global,Top MCO,Platinum,Secure
170004,HK,17,5 MG/1 ML,FG,No,Regular MCO,Gold,Secure
600006,FR,6,"2,9 MG/5 ML",FG,No,Top MCO,Platinum,Secure
140004,CZ,14,"150 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
100014,NL,1,250 IU,FG,No,Top MCO,Auto Piloted,Secure
700046,FR,7,84 MG,FG,No,Top MCO,Auto Piloted,Secure
160005,DK,16,100 MG/5 ML,FG,Global,Top MCO,Platinum,Supply Growth
100015,NL,1,3 KIU,FG,No,Top MCO,Auto Piloted,Secure
140023,EX,14,"150 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Secure
800021,KR,8,400 IU,FG,No,Major MCO,Auto Piloted,Secure
100016,NL,1,1 KIU,FG,No,Top MCO,Auto Piloted,Secure
150096,CL,15,300 MG/2 ML,FG,Global,Regular MCO,Platinum,Supply Growth
400039,DE,4,1.5 KIU,FG,No,Top MCO,Gold,Secure
160072,CH,16,MEDICAL SUPPLIES,FG,No,Top MCO,Platinum,Supply Growth
110032,US,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
700033,NL,7,84 MG,FG,No,Top MCO,Auto Piloted,Secure
150120,NL,15,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Supply Growth
110051,RU,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
100017,NL,1,500 IU,FG,No,Top MCO,Auto Piloted,Secure
120049,CO,12,100 MG/10 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
160016,ES,16,100 MG/5 ML,FG,No,Top MCO,Platinum,Supply Growth
800031,DK,8,400 IU,FG,No,Top MCO,Platinum,Secure
100018,NL,1,500 IU,FG,No,Top MCO,Auto Piloted,Secure
800040,BM,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
160017,DB,16,500 MG/25 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
100019,NL,1,3 KIU,FG,No,Top MCO,Auto Piloted,Secure
400037,CA,4,750 IU,FG,No,Top MCO,Platinum,Secure
100020,NL,1,3 KIU,FG,No,Top MCO,Auto Piloted,Secure
110048,DE,11,50 MG/10 ML,FG,No,Top MCO,Gold,Secure
100048,DE,1,2 KIU,FG,No,Top MCO,Gold,Secure
130014,NO,13,4 MG/1 ML,FG,Global,Top MCO,Platinum,Secure
110001,IT,11,50 MG/10 ML,FG,Global,Top MCO,Platinum,Secure
100021,NL,1,1 KIU,FG,No,Top MCO,Auto Piloted,Secure
400027,DE,4,1 KIU,FG,No,Top MCO,Gold,Secure
200001,US,2,2000 IU,FG,No,Top MCO,Auto Piloted,Supply Growth
150181,HU,15,"200 MG/1,14 ML",FG,Global,Major MCO,Platinum,Supply Growth
160032,GR,16,100 MG/5 ML,FG,Global,Major MCO,Platinum,Supply Growth
100022,NL,1,500 IU,FG,No,Top MCO,Auto Piloted,Secure
600005,NL,6,500 IU/5 ML,FG,No,Top MCO,Auto Piloted,Secure
110013,CS,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
100023,NL,1,250 IU,FG,No,Top MCO,Auto Piloted,Secure
700005,UA,7,84 MG,FG,No,Regular MCO,Auto Piloted,Secure
300007,BH,3,10 MG,FG,No,Regular MCO,Gold,Secure
100032,NL,1,1 KIU,FG,No,Top MCO,Auto Piloted,Secure
150148,DB,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
150091,TH,15,"200 MG/1,14 ML",FG,No,Regular MCO,Auto Piloted,Supply Growth
700044,SA,7,84 MG,FG,Global,Regular MCO,Platinum,Secure
600025,DE,6,100 IU/1 ML,FG,No,Top MCO,Gold,Secure
100033,NL,1,2 KIU,FG,No,Top MCO,Auto Piloted,Secure
800077,BE,8,400 IU,FG,No,Top MCO,Auto Piloted,Secure
140072,JP,14,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
800040,RU,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
110059,0,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
150050,AT,15,"200 MG/1,14 ML",FG,No,Top MCO,Platinum,Supply Growth
170085,M6,17,35 MG/7 ML,FG,No,Regular MCO,Auto Piloted,Secure
170072,CR,17,35 MG/7 ML,FG,No,Regular MCO,Auto Piloted,Secure
100034,NL,1,3 KIU,FG,No,Top MCO,Auto Piloted,Secure
100047,DE,1,500 IU,FG,No,Top MCO,Gold,Secure
100046,NL,1,1 KIU,FG,No,Top MCO,Auto Piloted,Secure
110020,FR,11,50 MG,FG,No,Top MCO,Auto Piloted,Secure
170067,AR,17,5 MG/1 ML,FG,Global,Regular MCO,Platinum,Secure
800023,IN,8,400 IU,FG,No,Regular MCO,Auto Piloted,Secure
170040,DE,17,5 MG,FG,No,Top MCO,Gold,Secure
110001,DE,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
120033,GR,12,100 MG/10 ML,FG,No,Major MCO,Auto Piloted,Supply Growth
110001,IE,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
110054,SA,11,50 MG,FG,No,Regular MCO,Gold,Secure
170074,AU,17,5 MG/1 ML,FG,Global,Regular MCO,Platinum,Secure
150139,DB,15,300 MG/2 ML,FG,No,Regular MCO,Auto Piloted,Supply Growth
110016,EX,11,50 MG,FG,No,Regular MCO,Auto Piloted,Secure
110002,IT,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
140019,CH,14,"150 MG/1,14 ML",FG,No,Top MCO,Platinum,Secure
150099,BH,15,"200 MG/1,14 ML",FG,No,Regular MCO,Gold,Supply Growth
110045,DE,11,50 MG,FG,No,Top MCO,Gold,Secure
110001,NL,11,50 MG/10 ML,FG,No,Top MCO,Auto Piloted,Secure
150131,FR,15,300 MG/2 ML,FG,No,Top MCO,Auto Piloted,Supply Growth
120028,RU,12,100 MG/10 ML,FG,Global,Regular MCO,Platinum,Supply Growth
