Product.Family,GMID,GMID_Description,Market,Geography,Material.Type.GMID,Date,Coverage,Min,Max
PF_06,G_600001,PF_06 2.9MG/5ML,Korea,International,FG,23-Jul,1.82,2.73,4.91
PF_06,G_600002,PF_06 2.9MG/5ML,Hong Kong,Greater China,FG,23-Jul,3.09,2.86,5.68
PF_06,G_600003,PF_06 2.9MG/5ML,Canada,North America,FG,23-Jul,3.41,2.73,5.68
PF_06,G_600004,PF_06 2.9MG/5ML,Malaysia,International,FG,23-Jul,0.91,3.18,9.14
PF_06,G_600005,PF_06 500IU/5ML,Australia,International,FG,23-Jul,0.91,2.73,4.59
PF_06,G_600005,PF_06 500IU/5ML,United States,North America,FG,23-Jul,0,0,0
PF_06,G_600006,PF_06 2.9MG/5ML,Mexico,International,FG,23-Jul,2.45,1.82,3.64
PF_06,G_600007,PF_06 2.9MG/5ML,Argentina,International,FG,23-Jul,0.23,1.36,2.5
PF_06,G_600008,PF_06 2.9MG/5ML,Colombia,International,FG,23-Jul,3.77,2.05,4.86
PF_06,G_600011,PF_06 2.9MG/5ML,United States,North America,FG,23-Jul,1.82,2.86,5.59
PF_06,G_600012,PF_06 100IU/1ML,Italy,Key Markets,FG,23-Jul,3.36,2.73,4.59
PF_06,G_600013,PF_06 2.9MG/5ML,United States,North America,FG,23-Jul,1.64,1.91,3.73
PF_06,G_600056,PF_06 500IU/5ML,Australia,International,FG,23-Jul,14.18,2.73,13.05
PF_06,G_600056,PF_06 500IU/5ML,New Zealand,International,FG,23-Jul,6.41,2.73,5.45
PF_06,G_600014,PF_06 2.9MG/5ML,Paraguay,International,FG,23-Jul,,,
PF_06,G_600015,PF_06 2.9MG/5ML,Taiwan,Greater China,FG,23-Jul,0.18,1.91,4.09
PF_06,G_600016,PF_06 2.9MG/5ML,India,International,FG,23-Jul,2,2.73,5.14
PF_06,G_600057,PF_06 500IU/5ML,South Africa,International,FG,23-Jul,1.77,0,0
PF_06,G_600018,PF_06 100IU/1ML,Austria,Key Markets,FG,23-Jul,1.09,2.86,8.32
PF_06,G_600019,PF_06 100IU/1ML,Norway,Key Markets,FG,23-Jul,1.05,2.86,8.32
PF_06,G_600020,PF_06 100IU/1ML,Algeria,International,FG,23-Jul,6.41,0,0
PF_06,G_600020,PF_06 100IU/1ML,France,Key Markets,FG,23-Jul,0.59,0,0
PF_06,G_600020,PF_06 100IU/1ML,Morocco,International,FG,23-Jul,1.59,2.73,5.45
PF_06,G_600021,PF_06 100IU/1ML,Germany,Key Markets,FG,23-Jul,1.05,2.86,4.68
PF_06,G_600058,PF_06 100IU/1ML,Italy,Key Markets,FG,23-Jul,0,0,0
PF_06,G_600022,PF_06 100IU/1ML,Portugal,Key Markets,FG,23-Jul,0.86,2.86,6.64
PF_06,G_600023,PF_06 100IU/1ML,Spain,Key Markets,FG,23-Jul,2.09,1.91,3.73
PF_06,G_600024,PF_06 100IU/1ML,Poland,International,FG,23-Jul,4.73,2.82,4.64
PF_06,G_600025,PF_06 100IU/1ML,Hungary,International,FG,23-Jul,0.95,2.86,8.32
PF_06,G_600026,PF_06 100IU/1ML,Denmark,Key Markets,FG,23-Jul,0.09,1.91,4.64
PF_06,G_600026,PF_06 100IU/1ML,Finland,Key Markets,FG,23-Jul,1.91,2.86,4.68
PF_06,G_600026,PF_06 100IU/1ML,Sweden,Key Markets,FG,23-Jul,0.09,1.91,4.64
PF_06,G_600027,PF_06 100IU/1ML,Greece,International,FG,23-Jul,5.77,1.91,6.5
PF_06,G_600028,PF_06 100IU/1ML,Czech Republic,International,FG,23-Jul,5.18,2.86,6.5
PF_06,G_600029,PF_06 100IU/1ML,Romania,International,FG,23-Jul,8.23,2.86,4.68
PF_06,G_600030,PF_06 100IU/1ML,Austria,Key Markets,FG,23-Jul,6.86,2.86,6.5
PF_06,G_600030,PF_06 100IU/1ML,Germany,Key Markets,FG,23-Jul,1.41,2.86,4.64
PF_06,G_600031,PF_06 100IU/1ML,United Kingdom,Key Markets,FG,23-Jul,12,1.82,3.64
PF_06,G_600032,PF_06 2.9MG/5ML,Brazil,International,FG,23-Jul,6.86,4.09,7.95
PF_06,G_600033,PF_06 2.9MG/5ML,Brazil,International,FG,23-Jul,0.02,0,7.95
PF_06,G_600033,PF_06 2.9MG/5ML,United States,North America,FG,23-Jul,0,0,0
PF_06,G_600046,PF_06 100IU/1ML,Ukraine,International,FG,23-Jul,0.02,0,0
PF_06,G_600034,PF_06 100IU/1ML,Morocco,International,FG,23-Jul,0,0,0
PF_06,G_600035,PF_06 100IU/1ML,Turkey,International,FG,23-Jul,2.05,0,0
PF_06,G_600036,PF_06 100IU/1ML,South Africa,International,FG,23-Jul,11.86,0,0
PF_06,G_600037,PF_06 100IU/1ML,Egypt,International,FG,23-Jul,19.95,0,0
PF_06,G_600039,PF_06 100IU/1ML,Israel,International,FG,23-Jul,3.05,2.86,5.73
PF_06,G_600039,PF_06 100IU/1ML,Morocco,International,FG,23-Jul,0.02,0,0
PF_06,G_600039,PF_06 100IU/1ML,Saudi Arabia,Key Markets,FG,23-Jul,0.02,0,0
PF_06,G_600039,PF_06 100IU/1ML,United Kingdom,Key Markets,FG,23-Jul,0.68,1.91,3.82
PF_06,G_600055,PF_06 100IU/1ML,Russia,International,FG,23-Jul,5,0.91,5.45
PF_06,G_600040,PF_06 100IU/1ML,Saudi Arabia,Key Markets,FG,23-Jul,4.09,0,0
PF_06,G_600041,PF_06 100IU/1ML,Belgium,Key Markets,FG,23-Jul,2.05,2.73,5.45
PF_06,G_600041,PF_06 100IU/1ML,Netherlands,Key Markets,FG,23-Jul,3.64,2.73,5.45
PF_06,G_600042,PF_06 100IU/1ML,Russia,International,FG,23-Jul,2.05,0.91,5.45
PF_06,G_600043,PF_06 2.9MG/5ML,Japan,Key Markets,FG,23-Jul,3.09,0,0
PF_01,G_100054,PF_01 1KIU,Korea,International,FG,23-Jul,0.02,0,0
PF_01,G_100001,PF_01 500IU,Australia,International,FG,23-Jul,5.18,2.73,5.45
PF_01,G_100001,PF_01 500IU,New Zealand,International,FG,23-Jul,3.68,2.73,4.09
PF_01,G_100002,PF_01 1KIU,Australia,International,FG,23-Jul,5.18,2.73,5.45
PF_01,G_100002,PF_01 1KIU,New Zealand,International,FG,23-Jul,2,2.73,4.09
PF_01,G_100004,PF_01 3KIU,Australia,International,FG,23-Jul,6.05,2.73,5.45
PF_01,G_100004,PF_01 3KIU,New Zealand,International,FG,23-Jul,3.86,2.73,4.09
PF_01,G_100005,PF_01 2KIU,Australia,International,FG,23-Jul,5.59,2.73,5.45
PF_01,G_100005,PF_01 2KIU,New Zealand,International,FG,23-Jul,2.23,2.73,4.09
PF_01,G_100006,PF_01 250IU,Australia,International,FG,23-Jul,9.45,2.73,5.45
PF_01,G_100006,PF_01 250IU,New Zealand,International,FG,23-Jul,3.14,2.73,4.55
PF_01,G_100007,PF_01 4KIU,Australia,International,FG,23-Jul,5.5,2.73,5.45
PF_01,G_100007,PF_01 4KIU,New Zealand,International,FG,23-Jul,4,2.73,4.09
PF_01,G_100008,PF_01 2KIU,United States,North America,FG,23-Jul,5.55,2.73,5.45
PF_01,G_100009,PF_01 4KIU,United States,North America,FG,23-Jul,4.41,2.73,5.45
PF_01,G_100010,PF_01 250IU,United States,North America,FG,23-Jul,7.77,2.73,5.45
PF_01,G_100011,PF_01 1KIU,United States,North America,FG,23-Jul,6.86,2.73,5.45
PF_01,G_100012,PF_01 500IU,United States,North America,FG,23-Jul,7.09,2.73,5.45
PF_01,G_100013,PF_01 3KIU,United States,North America,FG,23-Jul,3.36,2.73,5.45
PF_01,G_100014,PF_01 250IU,Taiwan,Greater China,FG,23-Jul,5.05,2.73,5.45
PF_01,G_100015,PF_01 3KIU,Taiwan,Greater China,FG,23-Jul,3.86,2.73,5.45
PF_01,G_100016,PF_01 1KIU,Taiwan,Greater China,FG,23-Jul,7.05,2.73,5.45
PF_01,G_100017,PF_01 500IU,Taiwan,Greater China,FG,23-Jul,8,2.73,5.45
PF_01,G_100018,PF_01 500IU,Hong Kong,Greater China,FG,23-Jul,21.91,2.73,5.45
PF_01,G_100019,PF_01 3KIU,Hong Kong,Greater China,FG,23-Jul,10.73,2.73,5.45
PF_01,G_100020,PF_01 3KIU,Korea,International,FG,23-Jul,8.45,3.64,8.18
PF_01,G_100021,PF_01 1KIU,Korea,International,FG,23-Jul,9.09,3.64,8.18
PF_01,G_100022,PF_01 500IU,Korea,International,FG,23-Jul,7.55,3.64,8.18
PF_01,G_100023,PF_01 250IU,Korea,International,FG,23-Jul,6.64,3.64,8.18
PF_01,G_100024,PF_01 2KIU,Korea,International,FG,23-Jul,9.09,3.64,8.18
PF_01,G_100025,PF_01 250IU,Japan,Key Markets,FG,23-Jul,9.82,0,0
PF_01,G_100026,PF_01 500IU,Japan,Key Markets,FG,23-Jul,4.23,0,0
PF_01,G_100027,PF_01 1KIU,Japan,Key Markets,FG,23-Jul,19.86,0,0
PF_01,G_100028,PF_01 2KIU,Japan,Key Markets,FG,23-Jul,3.32,0,0
PF_01,G_100029,PF_01 3KIU,Japan,Key Markets,FG,23-Jul,4.82,0,0
PF_01,G_100030,PF_01 4KIU,Japan,Key Markets,FG,23-Jul,5.36,0,0
PF_01,G_100031,PF_01 500IU,Canada,North America,FG,23-Jul,10.73,3.64,5.45
PF_01,G_100032,PF_01 1KIU,Canada,North America,FG,23-Jul,9.82,3.64,5.45
PF_01,G_100033,PF_01 2KIU,Canada,North America,FG,23-Jul,6.64,3.64,5.45
PF_01,G_100034,PF_01 3KIU,Canada,North America,FG,23-Jul,10.73,3.64,5.45
PF_02,G_200022,PF_02 250IU,Japan,Key Markets,FG,23-Jul,0.02,0,0
PF_02,G_200022,PF_02 250IU,Taiwan,Greater China,FG,23-Jul,0.02,0,0
PF_02,G_200023,PF_02 500IU,Japan,Key Markets,FG,23-Jul,0.02,0,0
PF_02,G_200023,PF_02 500IU,Taiwan,Greater China,FG,23-Jul,0.02,0,0
PF_02,G_200024,PF_02 1000IU,Japan,Key Markets,FG,23-Jul,0.02,0,0
PF_02,G_200024,PF_02 1000IU,Taiwan,Greater China,FG,23-Jul,0.02,0,0
PF_02,G_200025,PF_02 2000IU,Japan,Key Markets,FG,23-Jul,0.02,0,0
PF_02,G_200025,PF_02 2000IU,Taiwan,Greater China,FG,23-Jul,0.02,0,0
PF_02,G_200026,PF_02 3000IU,Japan,Key Markets,FG,23-Jul,0.02,0,0
PF_02,G_200027,PF_02 4000IU,Japan,Key Markets,FG,23-Jul,0.02,0,0
PF_02,G_200001,PF_02 2000IU,United States,North America,FG,23-Jul,2.73,2.73,5.45
