year,month,PRODUCT_FAMILY,GMID,LOC,Country
2025,7,6,600001,KR001,KR
2025,7,6,600002,HK001,HK
2025,7,6,600003,CA001,CA
2025,7,6,600005,AU001,AU
2025,7,6,600006,MX001,MX
2025,7,6,600007,AR001,AR
2025,7,6,600008,CO001,CO
2025,7,6,600010,CL001,CL
2025,7,6,600011,US001,US
2025,7,6,600012,IT001,IT
2025,7,6,600015,TW001,TW
2025,7,6,600016,IN001,IN
2025,7,6,600018,AT001,AT
2025,7,6,600019,NO001,NO
2025,7,6,600021,DE001,DE
2025,7,6,600022,PT001,PT
2025,7,6,600023,ES001,ES
2025,7,6,600024,PL001,PL
2025,7,6,600025,HU001,HU
2025,7,6,600026,DK001,DK
2025,7,6,600026,FI001,FI
2025,7,6,600026,SE001,SE
2025,7,6,600028,CZ001,CZ
2025,7,6,600030,AT001,AT
2025,7,6,600030,DE001,DE
2025,7,6,600031,IE001,IE
2025,7,6,600035,TR001,TR
2025,7,6,600036,ZA001,ZA
2025,7,6,600038,IQ001,IQ
2025,7,6,600039,GB001,GB
2025,7,6,600040,SA001,SA
2025,7,6,600041,BE001,BE
2025,7,6,600041,NL001,NL
2025,7,6,600048,FR001,FR
2025,7,6,600048,MA001,MA
2025,7,6,600043,JP001,JP
2025,7,1,100008,US001,US
2025,7,1,100009,US001,US
2025,7,1,100010,US001,US
2025,7,1,100011,US001,US
2025,7,1,100012,US001,US
2025,7,1,100013,US001,US
2025,7,1,100020,KR001,KR
2025,7,1,100021,KR001,KR
2025,7,1,100022,KR001,KR
2025,7,1,100024,KR001,KR
2025,7,1,100035,TW001,TW
2025,7,1,100036,TW001,TW
2025,7,1,100041,TW001,TW
2025,7,1,100025,JP001,JP
2025,7,1,100026,JP001,JP
2025,7,1,100027,JP001,JP
2025,7,1,100028,JP001,JP
2025,7,1,100029,JP001,JP
2025,7,1,100030,JP001,JP
2025,7,1,100032,CA001,CA
2025,7,1,100033,CA001,CA
2025,7,1,100034,CA001,CA
2025,7,1,100042,HK001,HK
2025,7,1,100037,AU001,AU
2025,7,1,100043,AU001,AU
2025,7,1,100038,AU001,AU
2025,7,1,100038,NZ001,NZ
2025,7,1,100044,AU001,AU
2025,7,1,100044,NZ001,NZ
2025,7,1,100039,AU001,AU
2025,7,1,100039,NZ001,NZ
2025,7,1,100040,AU001,AU
2025,7,1,100040,NZ001,NZ
2025,7,1,100045,HK001,HK
2025,7,2,200001,US001,US
2025,7,2,200002,US001,US
2025,7,2,200003,US001,US
2025,7,2,200004,US001,US
2025,7,2,200005,US001,US
2025,7,2,200006,US001,US
2025,7,2,200007,JP001,JP
2025,7,2,200008,JP001,JP
2025,7,2,200009,JP001,JP
2025,7,2,200010,JP001,JP
2025,7,2,200011,JP001,JP
2025,7,2,200012,JP001,JP
2025,7,3,300001,DE001,DE
2025,7,3,300004,FR001,FR
2025,7,3,300004,FR003,FR
2025,7,3,300005,SE001,SE
2025,7,3,300006,US001,US
2025,7,3,300007,GB001,GB
2025,7,3,300008,BE001,BE
2025,7,3,300008,NL001,NL
2025,7,3,300010,CH001,CH
2025,7,3,300011,IT001,IT
2025,7,3,300012,RO001,RO
2025,7,3,300013,IL001,IL
2025,7,3,300015,ES001,ES
2025,7,3,300015,PT001,PT
2025,7,3,300016,GR001,GR
2025,7,3,300018,CO001,CO
2025,7,3,300019,JP001,JP
2025,7,7,700006,KR001,KR
2025,7,7,700008,CO001,CO
2025,7,7,700009,AR001,AR
2025,7,7,700012,IL001,IL
2025,7,7,700023,TW001,TW
2025,7,7,700024,CO001,CO
2025,7,7,700030,US001,US
2025,7,7,700031,AT001,AT
2025,7,7,700031,DE001,DE
2025,7,7,700025,FI001,FI
2025,7,7,700032,FR001,FR
2025,7,7,700033,DE001,DE
2025,7,7,700034,CA001,CA
2025,7,7,700035,GB001,GB
2025,7,7,700036,ES001,ES
2025,7,7,700046,AU001,AU
2025,7,7,700026,GR001,GR
2025,7,7,700038,PT001,PT
2025,7,7,700039,HU001,HU
2025,7,7,700040,RO001,RO
2025,7,7,700041,PL001,PL
2025,7,7,700043,CH001,CH
2025,7,7,700045,BE001,BE
2025,7,7,700047,IT001,IT
2025,7,7,700028,JP001,JP
2025,7,8,800007,ZA001,ZA
2025,7,8,800016,IT001,IT
2025,7,8,800024,CZ001,CZ
2025,7,8,800025,PL001,PL
2025,7,8,800026,HU001,HU
2025,7,8,800027,TR001,TR
2025,7,8,800028,AT001,AT
2025,7,8,800029,CH001,CH
2025,7,8,800030,DK001,DK
2025,7,8,800030,NO001,NO
2025,7,8,800031,FI001,FI
2025,7,8,800031,SE001,SE
2025,7,8,800032,FR001,FR
2025,7,8,800032,FR003,FR
2025,7,8,800033,GR001,GR
2025,7,8,800034,PT001,PT
2025,7,8,800035,ES001,ES
2025,7,8,800036,RO001,RO
2025,7,8,800037,DE001,DE
2025,7,8,800038,DE001,DE
2025,7,8,800039,AT001,AT
2025,7,8,800040,GB001,GB
2025,7,8,800041,SA001,SA
2025,7,8,800042,IL001,IL
2025,7,8,800043,AE002,AE
2025,7,8,800043,IE001,IE
2025,7,8,800045,MA001,MA
2025,7,8,800046,US001,US
2025,7,8,800047,BE001,BE
2025,7,8,800047,NL001,NL
2025,7,8,800063,TW001,TW
2025,7,8,800048,HK001,HK
2025,7,8,800064,AU001,AU
2025,7,8,800064,NZ001,NZ
2025,7,8,800050,CL001,CL
2025,7,8,800051,SG002,SG
2025,7,8,800052,TH001,TH
2025,7,8,800054,IN001,IN
2025,7,8,800055,JP001,JP
2025,7,8,800056,CA001,CA
2025,7,8,800066,KR001,KR
2025,7,8,800057,MX001,MX
2025,7,8,800067,CO001,CO
2025,7,8,800071,AR001,AR
2025,7,8,800072,MA001,MA
2025,7,15,150001,PR001,PR
2025,7,15,150001,US001,US
2025,7,15,150002,AT001,AT
2025,7,15,150002,DE001,DE
2025,7,15,150003,DE001,DE
2025,7,15,150007,CA001,CA
2025,7,15,150008,DK001,DK
2025,7,15,150008,NO001,NO
2025,7,15,150009,FI001,FI
2025,7,15,150009,SE001,SE
2025,7,15,150010,KR001,KR
2025,7,15,150011,GB001,GB
2025,7,15,150012,ES001,ES
2025,7,15,150013,BR001,BR
2025,7,15,150014,AU001,AU
2025,7,15,150014,NZ001,NZ
2025,7,15,150015,BE001,BE
2025,7,15,150016,IL001,IL
2025,7,15,150018,FR001,FR
2025,7,15,150018,FR003,FR
2025,7,15,150019,MX001,MX
2025,7,15,150021,PL001,PL
2025,7,15,150024,CO001,CO
2025,7,15,150025,PR001,PR
2025,7,15,150025,US001,US
2025,7,15,150026,SG002,SG
2025,7,15,150028,TW001,TW
2025,7,15,150029,MY001,MY
2025,7,15,150030,AT001,AT
2025,7,15,150030,DE001,DE
2025,7,15,150031,DE001,DE
2025,7,15,150032,CZ001,CZ
2025,7,15,150033,CA001,CA
2025,7,15,150034,ES001,ES
2025,7,15,150035,PT001,PT
2025,7,15,150036,CO001,CO
2025,7,15,150038,TH001,TH
2025,7,15,150039,GB001,GB
2025,7,15,150041,KR001,KR
2025,7,15,150042,FI001,FI
2025,7,15,150042,SE001,SE
2025,7,15,150043,BR001,BR
2025,7,15,150045,DK001,DK
2025,7,15,150045,NO001,NO
2025,7,15,150047,PR001,PR
2025,7,15,150047,US001,US
2025,7,15,150048,PR001,PR
2025,7,15,150048,US001,US
2025,7,15,150052,IT001,IT
2025,7,15,150054,RO001,RO
2025,7,15,150057,GR001,GR
2025,7,15,150058,FR001,FR
2025,7,15,150058,FR003,FR
2025,7,15,150059,CN001,CN
2025,7,15,150065,BE001,BE
2025,7,15,150182,FR001,FR
2025,7,15,150068,ZA001,ZA
2025,7,15,150069,IL001,IL
2025,7,15,150070,MX001,MX
2025,7,15,150074,FR001,FR
2025,7,15,150074,IT001,IT
