month,year,product_family,gmid,loc,country,sales,gmid_key
5,2025,6,600001,KR001,KR,829,600001_202505_KR
5,2025,6,600002,HK001,HK,14,600002_202505_HK
5,2025,6,600003,CA001,CA,824,600003_202505_CA
5,2025,6,600004,MY001,MY,24,600004_202505_MY
5,2025,6,600005,AU001,AU,301,600005_202505_AU
5,2025,6,600006,MX001,MX,2506,600006_202505_MX
5,2025,6,600007,AR001,AR,745,600007_202505_AR
5,2025,6,600008,CO001,CO,636,600008_202505_CO
5,2025,6,600010,CL001,CL,411,600010_202505_CL
5,2025,6,600011,US001,US,6793,600011_202505_US
5,2025,6,600012,IT001,IT,1194,600012_202505_IT
5,2025,6,600015,TW001,TW,308,600015_202505_TW
5,2025,6,600016,IN001,IN,177,600016_202505_IN
5,2025,6,600018,AT001,AT,36,600018_202505_AT
5,2025,6,600019,NO001,NO,53,600019_202505_NO
5,2025,6,600021,DE001,DE,63,600021_202505_DE
5,2025,6,600022,PT001,PT,339,600022_202505_PT
5,2025,6,600023,ES001,ES,1427,600023_202505_ES
5,2025,6,600024,PL001,PL,634,600024_202505_PL
5,2025,6,600025,HU001,HU,36,600025_202505_HU
5,2025,6,600026,DK001,DK,160,600026_202505_DK
5,2025,6,600026,FI001,FI,21,600026_202505_FI
5,2025,6,600026,SE001,SE,139,600026_202505_SE
5,2025,6,600027,GR001,GR,96,600027_202505_GR
5,2025,6,600028,CZ001,CZ,145,600028_202505_CZ
5,2025,6,600029,RO001,RO,0,600029_202505_RO
5,2025,6,600030,AT001,AT,5,600030_202505_AT
5,2025,6,600030,DE001,DE,13,600030_202505_DE
5,2025,6,600031,IE001,IE,235,600031_202505_IE
5,2025,6,600032,BR001,BR,128,600032_202505_BR
5,2025,6,600046,UA001,UA,0,600046_202505_UA
5,2025,6,600034,MA001,MA,660,600034_202505_MA
5,2025,6,600035,TR001,TR,2417,600035_202505_TR
5,2025,6,600036,ZA001,ZA,62,600036_202505_ZA
5,2025,6,600039,GB001,GB,2762,600039_202505_GB
5,2025,6,600039,IL001,IL,16,600039_202505_IL
5,2025,6,600041,BE001,BE,304,600041_202505_BE
5,2025,6,600041,NL001,NL,1057,600041_202505_NL
5,2025,6,600047,AE002,AE,0,600047_202505_AE
5,2025,6,600047,EG001,EG,2330,600047_202505_EG
5,2025,6,600048,FR001,FR,3335,600048_202505_FR
5,2025,6,600048,MA001,MA,218,600048_202505_MA
5,2025,6,600042,RU001,RU,5366,600042_202505_RU
5,2025,6,600043,JP001,JP,1295,600043_202505_JP
5,2025,6,600049,DZ001,DZ,0,600049_202505_DZ
5,2025,6,600049,MA001,MA,1113,600049_202505_MA
5,2025,1,100001,NZ001,NZ,76,100001_202505_NZ
5,2025,1,100008,US001,US,823,100008_202505_US
5,2025,1,100009,US001,US,1699,100009_202505_US
5,2025,1,100010,US001,US,358,100010_202505_US
5,2025,1,100011,US001,US,561,100011_202505_US
5,2025,1,100012,US001,US,696,100012_202505_US
5,2025,1,100013,US001,US,1636,100013_202505_US
5,2025,1,100020,KR001,KR,80,100020_202505_KR
5,2025,1,100021,KR001,KR,72,100021_202505_KR
5,2025,1,100022,KR001,KR,60,100022_202505_KR
5,2025,1,100035,TW001,TW,250,100035_202505_TW
5,2025,1,100036,TW001,TW,40,100036_202505_TW
5,2025,1,100041,TW001,TW,260,100041_202505_TW
5,2025,1,100025,JP001,JP,35,100025_202505_JP
5,2025,1,100026,JP001,JP,79,100026_202505_JP
5,2025,1,100027,JP001,JP,61,100027_202505_JP
5,2025,1,100028,JP001,JP,17,100028_202505_JP
5,2025,1,100029,JP001,JP,336,100029_202505_JP
5,2025,1,100030,JP001,JP,266,100030_202505_JP
5,2025,1,100031,CA001,CA,28,100031_202505_CA
5,2025,1,100032,CA001,CA,28,100032_202505_CA
5,2025,1,100033,CA001,CA,226,100033_202505_CA
5,2025,1,100034,CA001,CA,244,100034_202505_CA
5,2025,1,100042,HK001,HK,237,100042_202505_HK
5,2025,1,100037,AU001,AU,19,100037_202505_AU
5,2025,1,100037,NZ001,NZ,4,100037_202505_NZ
5,2025,1,100043,AU001,AU,83,100043_202505_AU
5,2025,1,100038,AU001,AU,100,100038_202505_AU
5,2025,1,100038,NZ001,NZ,34,100038_202505_NZ
5,2025,1,100044,AU001,AU,229,100044_202505_AU
5,2025,1,100044,NZ001,NZ,61,100044_202505_NZ
5,2025,1,100039,AU001,AU,234,100039_202505_AU
5,2025,1,100039,NZ001,NZ,46,100039_202505_NZ
5,2025,1,100040,AU001,AU,198,100040_202505_AU
5,2025,1,100040,NZ001,NZ,41,100040_202505_NZ
5,2025,1,100045,HK001,HK,401,100045_202505_HK
5,2025,2,200001,US001,US,2277,200001_202505_US
5,2025,2,200002,US001,US,2062,200002_202505_US
5,2025,2,200003,US001,US,2597,200003_202505_US
5,2025,2,200004,US001,US,2954,200004_202505_US
5,2025,2,200005,US001,US,889,200005_202505_US
5,2025,2,200006,US001,US,1618,200006_202505_US
5,2025,2,200007,JP001,JP,103,200007_202505_JP
5,2025,2,200008,JP001,JP,84,200008_202505_JP
5,2025,2,200009,JP001,JP,237,200009_202505_JP
5,2025,2,200010,JP001,JP,879,200010_202505_JP
5,2025,2,200011,JP001,JP,629,200011_202505_JP
5,2025,2,200012,JP001,JP,14,200012_202505_JP
5,2025,2,200014,TW001,TW,60,200014_202505_TW
5,2025,2,200015,TW001,TW,700,200015_202505_TW
5,2025,2,200016,TW001,TW,850,200016_202505_TW
5,2025,2,200017,TW001,TW,800,200017_202505_TW
5,2025,3,300001,AT001,AT,28,300001_202505_AT
5,2025,3,300001,DE001,DE,302,300001_202505_DE
5,2025,3,300002,AT001,AT,2,300002_202505_AT
5,2025,3,300004,FR001,FR,553,300004_202505_FR
5,2025,3,300005,AE002,AE,0,300005_202505_AE
5,2025,3,300005,FI001,FI,0,300005_202505_FI
5,2025,3,300005,GB001,GB,0,300005_202505_GB
5,2025,3,300005,OM001,OM,0,300005_202505_OM
5,2025,3,300005,SA001,SA,0,300005_202505_SA
5,2025,3,300005,SE001,SE,19,300005_202505_SE
5,2025,3,300006,US001,US,2107,300006_202505_US
5,2025,3,300007,GB001,GB,308,300007_202505_GB
5,2025,3,300008,BE001,BE,78,300008_202505_BE
5,2025,3,300008,NL001,NL,77,300008_202505_NL
5,2025,3,300010,CH001,CH,57,300010_202505_CH
5,2025,3,300011,IT001,IT,1333,300011_202505_IT
5,2025,3,300012,HU001,HU,0,300012_202505_HU
5,2025,3,300012,RO001,RO,99,300012_202505_RO
5,2025,3,300013,IL001,IL,275,300013_202505_IL
5,2025,3,300014,CZ001,CZ,0,300014_202505_CZ
5,2025,3,300015,ES001,ES,232,300015_202505_ES
5,2025,3,300015,PT001,PT,57,300015_202505_PT
5,2025,3,300016,GR001,GR,191,300016_202505_GR
5,2025,3,300018,CO001,CO,30,300018_202505_CO
5,2025,3,300019,JP001,JP,310,300019_202505_JP
5,2025,7,700006,KR001,KR,6,700006_202505_KR
5,2025,7,700008,CO001,CO,9,700008_202505_CO
5,2025,7,700009,AR001,AR,8,700009_202505_AR
5,2025,7,700012,IL001,IL,39,700012_202505_IL
5,2025,7,700023,IE001,IE,0,700023_202505_IE
5,2025,7,700024,CO001,CO,1080,700024_202505_CO
5,2025,7,700030,US001,US,719,700030_202505_US
5,2025,7,700031,AT001,AT,11,700031_202505_AT
5,2025,7,700031,DE001,DE,22,700031_202505_DE
5,2025,7,700025,DK001,DK,0,700025_202505_DK
5,2025,7,700025,FI001,FI,7,700025_202505_FI
5,2025,7,700025,NO001,NO,0,700025_202505_NO
5,2025,7,700025,SE001,SE,2,700025_202505_SE
5,2025,7,700032,FR001,FR,130,700032_202505_FR
5,2025,7,700033,DE001,DE,23,700033_202505_DE
5,2025,7,700034,CA001,CA,6,700034_202505_CA
5,2025,7,700035,GB001,GB,126,700035_202505_GB
5,2025,7,700036,ES001,ES,149,700036_202505_ES
5,2025,7,700046,AU001,AU,29,700046_202505_AU
5,2025,7,700026,GR001,GR,21,700026_202505_GR
5,2025,7,700038,PT001,PT,7,700038_202505_PT
5,2025,7,700039,HU001,HU,12,700039_202505_HU
5,2025,7,700040,RO001,RO,30,700040_202505_RO
5,2025,7,700041,PL001,PL,26,700041_202505_PL
5,2025,7,700042,CZ001,CZ,0,700042_202505_CZ
5,2025,7,700043,CH001,CH,8,700043_202505_CH
5,2025,7,700045,BE001,BE,7,700045_202505_BE
5,2025,7,700045,NL001,NL,0,700045_202505_NL
5,2025,7,700047,IT001,IT,151,700047_202505_IT
5,2025,7,700028,JP001,JP,152,700028_202505_JP
5,2025,8,800001,BR001,BR,0,800001_202505_BR
5,2025,8,800007,ZA001,ZA,483,800007_202505_ZA
5,2025,8,800016,IT001,IT,3376,800016_202505_IT
5,2025,8,800017,MA001,MA,0,800017_202505_MA
5,2025,8,800022,IQ001,IQ,4878,800022_202505_IQ
5,2025,8,800024,CZ001,CZ,250,800024_202505_CZ
5,2025,8,800025,PL001,PL,670,800025_202505_PL
5,2025,8,800026,HU001,HU,266,800026_202505_HU
5,2025,8,800059,UA001,UA,0,800059_202505_UA
5,2025,8,800027,TR001,TR,9153,800027_202505_TR
5,2025,8,800028,AT001,AT,27,800028_202505_AT
5,2025,8,800029,CH001,CH,444,800029_202505_CH
5,2025,8,800030,DK001,DK,128,800030_202505_DK
5,2025,8,800030,NO001,NO,237,800030_202505_NO
5,2025,8,800031,FI001,FI,66,800031_202505_FI
5,2025,8,800031,SE001,SE,743,800031_202505_SE
