gmid_key,date,year,month,product_family,gmid,loc,country,market,geography,market_segmentation,pf_segmentation,gmid_segmentation,seg_combo,forecast_lag_3,log_sales,log_segment,seg_combo_lag,model_segment,gb_forecast,ada_forecast,bag_forecast,rf_forecast,final_forecast,final_best_model,absolute_error,mape,sales
600001_202507_KR,2025-07-01,2025,7,6,600001,KR001,KR,Korea,International,Major MCO,Secure,Platinum,Secure_Major MCO,840.0,6.814542897259958,Very High,Secure_Major MCO,Secure_Major MCO_Very High,910.7576918930083,910.0,909.040465888915,909.8796296296296,909.8796296296296,rf_forecast,0.0,,0.0
600002_202507_HK,2025-07-01,2025,7,6,600002,HK001,HK,Hong Kong,Greater China,Regular MCO,Secure,Platinum,Secure_Regular MCO,67.0,4.330733340286331,Mid High,Secure_Regular MCO,Secure_Regular MCO_Mid High,74.39009556119224,75.47058823529412,75.34009657770324,75.0,75.0,rf_forecast,0.0,,0.0
600003_202507_CA,2025-07-01,2025,7,6,600003,CA001,CA,Canada,North America,Top MCO,Secure,Platinum,Secure_Top MCO,835.0,6.641182169740591,Very High,Secure_Top MCO,Secure_Top MCO_Very High,763.9471394003078,763.3461538461538,763.4717676927487,765.0066742825078,765.0066742825078,rf_forecast,0.0,,0.0
600005_202507_AU,2025-07-01,2025,7,6,600005,AU001,AU,Australia,International,Regular MCO,Secure,Platinum,Secure_Regular MCO,407.0,6.030685260261263,High,Secure_Regular MCO,Secure_Regular MCO_High,414.4452461325269,414.6363636363636,414.86027488288676,415.0,415.0,rf_forecast,0.0,,0.0
600006_202507_MX,2025-07-01,2025,7,6,600006,MX001,MX,Mexico,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,536.0,7.388946097618437,Very High,Secure_Regular MCO,Secure_Regular MCO_Very High,1615.952345562435,1616.6,1617.5212309897404,1617.4303835978837,1617.4303835978837,rf_forecast,0.0,,0.0
600007_202507_AR,2025-07-01,2025,7,6,600007,AR001,AR,Argentina,International,Regular MCO,Secure,Platinum,Secure_Regular MCO,28.0,6.361302477572996,High,Secure_Regular MCO,Secure_Regular MCO_High,577.6409286783252,577.4615384615385,577.108921898371,578.0318181818183,578.0318181818183,rf_forecast,0.0,,0.0
600008_202507_CO,2025-07-01,2025,7,6,600008,CO001,CO,Colombia,International,Regular MCO,Secure,Platinum,Secure_Regular MCO,336.0,6.272877006546167,High,Secure_Regular MCO,Secure_Regular MCO_High,529.3284677953728,528.9090909090909,529.1557340579403,529.000532307199,529.000532307199,rf_forecast,0.0,,0.0
600010_202507_CL,2025-07-01,2025,7,6,600010,CL001,CL,Chile,International,Regular MCO,Secure,Platinum,Secure_Regular MCO,300.0,6.129050210060545,High,Secure_Regular MCO,Secure_Regular MCO_High,458.3000343988514,458.42857142857144,457.1641170399349,458.01673742253456,458.01673742253456,rf_forecast,0.0,,0.0
600011_202507_US,2025-07-01,2025,7,6,600011,US001,US,United States,North America,Top MCO,Secure,Platinum,Secure_Top MCO,8819.0,8.8698199525084,Extreme High,Secure_Top MCO,Secure_Top MCO_Extreme High,7122.027378534292,7103.0,7106.695833333334,7106.4,7103.0,ada_forecast,0.0,,0.0
600012_202507_IT,2025-07-01,2025,7,6,600012,IT001,IT,Italy,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,1585.0,7.3613754289773485,Very High,Secure_Top MCO,Secure_Top MCO_Very High,1574.4998328811685,1572.5714285714287,1570.1902691333958,1573.9138888888888,1573.9138888888888,rf_forecast,0.0,,0.0
