month,year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
5,25,6,600001,KR001,KR,829,797,3.90%,0.00%,0.00%,32,-32
5,25,6,600002,HK001,HK,14,104.0312887,643.10%,0.01%,0.00%,90.03128874,90.03128874
5,25,6,600003,CA001,CA,824,920.7616305,11.70%,0.01%,0.00%,96.76163047,96.76163047
5,25,6,600004,MY001,MY,24,0,100.00%,0.00%,0.00%,24,-24
5,25,6,600005,AU001,AU,301,274,9.00%,0.00%,0.00%,27,-27
5,25,6,600006,MX001,MX,"2,506",1700,32.20%,0.05%,0.30%,806,-806
5,25,6,600007,AR001,AR,745,0,100.00%,0.05%,0.30%,745,-745
5,25,6,600008,CO001,CO,636,343,46.10%,0.02%,0.10%,293,-293
5,25,6,600010,CL001,CL,411,380,7.50%,0.00%,0.00%,31,-31
5,25,6,600011,US001,US,"6,793",7442.313732,9.60%,0.04%,0.20%,649.3137324,649.3137324
5,25,6,600012,IT001,IT,"1,194",1631.103827,36.60%,0.03%,0.20%,437.1038269,437.1038269
5,25,6,600015,TW001,TW,308,333.8160752,8.40%,0.00%,0.00%,25.81607521,25.81607521
5,25,6,600016,IN001,IN,177,243,37.30%,0.00%,0.00%,66,66
5,25,6,600018,AT001,AT,36,43.27633502,20.20%,0.00%,0.00%,7.276335023,7.276335023
5,25,6,600019,NO001,NO,53,42.82728135,19.20%,0.00%,0.00%,10.17271865,-10.17271865
5,25,6,600021,DE001,DE,63,57.69974326,8.40%,0.00%,0.00%,5.300256744,-5.300256744
5,25,6,600022,PT001,PT,339,269.4278273,20.50%,0.00%,0.00%,69.57217266,-69.57217266
5,25,6,600023,ES001,ES,"1,427",1344.343448,5.80%,0.01%,0.00%,82.65655244,-82.65655244
5,25,6,600024,PL001,PL,634,600,5.40%,0.00%,0.00%,34,-34
5,25,6,600025,HU001,HU,36,48,33.30%,0.00%,0.00%,12,12
5,25,6,600026,DK001,DK,160,142,11.30%,0.00%,0.00%,18,-18
5,25,6,600026,FI001,FI,21,31.25252525,48.80%,0.00%,0.00%,10.25252525,10.25252525
5,25,6,600026,SE001,SE,139,230,65.50%,0.01%,0.00%,91,91
5,25,6,600027,GR001,GR,96,96,0.00%,0.00%,0.00%,0,0
5,25,6,600028,CZ001,CZ,145,268,84.80%,0.01%,0.00%,123,123
5,25,6,600029,RO001,RO,0,72,,0.00%,0.00%,72,72
5,25,6,600030,AT001,AT,5,5,0.00%,0.00%,0.00%,1.77636E-15,-1.78E-15
5,25,6,600030,DE001,DE,13,27.62936987,112.50%,0.00%,0.00%,14.62936987,14.62936987
5,25,6,600031,IE001,IE,235,194.9470236,17.00%,0.00%,0.00%,40.05297639,-40.05297639
5,25,6,600032,BR001,BR,128,128,0.00%,0.00%,0.00%,0,0
5,25,6,600046,UA001,UA,0,3744,,0.25%,1.40%,3744,3744
5,25,6,600034,MA001,MA,660,199,69.80%,0.03%,0.20%,461,-461
5,25,6,600035,TR001,TR,"2,417",2143,11.30%,0.02%,0.10%,274,-274
5,25,6,600036,ZA001,ZA,62,131,111.30%,0.00%,0.00%,69,69
5,25,6,600039,GB001,GB,"2,762",2639.738112,4.40%,0.01%,0.00%,122.2618879,-122.2618879
5,25,6,600039,IL001,IL,16,16,0.00%,0.00%,0.00%,0,0
5,25,6,600041,BE001,BE,304,290.7170105,4.40%,0.00%,0.00%,13.28298955,-13.28298955
5,25,6,600041,NL001,NL,"1,057",676.7905414,36.00%,0.02%,0.10%,380.2094586,-380.2094586
5,25,6,600047,AE002,AE,0,36,,0.00%,0.00%,36,36
5,25,6,600047,EG001,EG,"2,330",2400,3.00%,0.00%,0.00%,70,70
5,25,6,600048,FR001,FR,"3,335",3409.101572,2.20%,0.00%,0.00%,74.10157194,74.10157194
5,25,6,600048,FR003,FR,0,0.756968347,,0.00%,0.00%,0.756968347,0.756968347
5,25,6,600048,MA001,MA,218,0,100.00%,0.01%,0.10%,218,-218
5,25,6,600042,RU001,RU,"5,366",5502,2.50%,0.01%,0.10%,136,136
5,25,6,600043,JP001,JP,"1,295",861.8402737,33.40%,0.03%,0.20%,433.1597263,-433.1597263
5,25,6,600049,DZ001,DZ,0,6000,,0.39%,2.30%,6000,6000
5,25,6,600049,MA001,MA,"1,113",1200,7.80%,0.01%,0.00%,87,87
5,25,1,100001,NZ001,NZ,76,29,61.80%,0.00%,0.00%,47,-47
5,25,1,100008,US001,US,823,1112,35.10%,0.02%,0.10%,289,289
5,25,1,100009,US001,US,"1,699",2044.392879,20.30%,0.02%,0.10%,345.3928787,345.3928787
5,25,1,100010,US001,US,358,514,43.60%,0.01%,0.10%,156,156
5,25,1,100011,US001,US,561,1121,99.80%,0.04%,0.20%,560,560
5,25,1,100012,US001,US,696,1139.394122,63.70%,0.03%,0.20%,443.3941217,443.3941217
5,25,1,100013,US001,US,"1,636",2052,25.40%,0.03%,0.20%,416,416
5,25,1,100020,KR001,KR,80,55,31.30%,0.00%,0.00%,25,-25
5,25,1,100021,KR001,KR,72,133,84.70%,0.00%,0.00%,61,61
5,25,1,100022,KR001,KR,60,116,93.30%,0.00%,0.00%,56,56
5,25,1,100035,TW001,TW,250,298,19.20%,0.00%,0.00%,48,48
5,25,1,100036,TW001,TW,40,45,12.50%,0.00%,0.00%,5,5
5,25,1,100041,TW001,TW,260,259,0.40%,0.00%,0.00%,1,-1
5,25,1,100025,JP001,JP,35,20,42.90%,0.00%,0.00%,15,-15
5,25,1,100026,JP001,JP,79,70,11.40%,0.00%,0.00%,9,-9
5,25,1,100027,JP001,JP,61,40,34.40%,0.00%,0.00%,21,-21
5,25,1,100028,JP001,JP,17,107,529.40%,0.01%,0.00%,90,90
5,25,1,100029,JP001,JP,336,468,39.30%,0.01%,0.10%,132,132
5,25,1,100030,JP001,JP,266,353,32.70%,0.01%,0.00%,87,87
5,25,1,100031,CA001,CA,28,32,14.30%,0.00%,0.00%,4,4
5,25,1,100032,CA001,CA,28,32,14.30%,0.00%,0.00%,4,4
5,25,1,100033,CA001,CA,226,199,11.90%,0.00%,0.00%,27,-27
5,25,1,100034,CA001,CA,244,276,13.10%,0.00%,0.00%,32,32
